horizon,mean,std,model,dataset,event_num
0.25_ipcw,0.896,2.20E-03,DeepHitCompeting,seer,0
0.5_ipcw,0.875,2.70E-03,DeepHitCompeting,seer,0
0.75_ipcw,0.853,1.60E-03,DeepHitCompeting,seer,0
0.25_ipcw,0.763,1.60E-02,DeepHitCompeting,seer,1
0.5_ipcw,0.748,1.50E-02,DeepHitCompeting,seer,1
0.75_ipcw,0.724,1.30E-02,DeepHitCompeting,seer,1
0.25_ipcw,0.895,1.70E-03,PCHazard,seer,0
0.5_ipcw,0.875,1.60E-03,PCHazard,seer,0
0.75_ipcw,0.858,4.00E-04,PCHazard,seer,0
0.25_ipcw,0.774,5.10E-03,PCHazard,seer,1
0.5_ipcw,0.769,3.30E-03,PCHazard,seer,1
0.75_ipcw,0.766,3.90E-03,PCHazard,seer,1
0.25_ipcw,0.904,1.20E-03,survtrace,seer,0
0.5_ipcw,0.883,1.20E-03,survtrace,seer,0
0.75_ipcw,0.866,5.00E-04,survtrace,seer,0
0.25_ipcw,0.797,6.20E-03,survtrace,seer,1
0.5_ipcw,0.788,5.50E-03,survtrace,seer,1
0.75_ipcw,0.775,3.10E-03,survtrace,seer,1
0.25_ipcw,0.902,1.20E-03,survtrace_wo_ips,seer,0
0.5_ipcw,0.882,1.30E-03,survtrace_wo_ips,seer,0
0.75_ipcw,0.864,9.00E-04,survtrace_wo_ips,seer,0
0.25_ipcw,0.789,6.30E-03,survtrace_wo_ips,seer,1
0.5_ipcw,0.78,5.00E-03,survtrace_wo_ips,seer,1
0.75_ipcw,0.768,2.70E-03,survtrace_wo_ips,seer,1
0.25_ipcw,0.903,1.10E-03,survtrace_wo_mtl,seer,0
0.5_ipcw,0.881,1.50E-03,survtrace_wo_mtl,seer,0
0.75_ipcw,0.863,5.00E-04,survtrace_wo_mtl,seer,0
0.25_ipcw,0.793,6.40E-03,survtrace_wo_mtl,seer,1
0.5_ipcw,0.784,5.40E-03,survtrace_wo_mtl,seer,1
0.75_ipcw,0.768,3.10E-03,survtrace_wo_mtl,seer,1
0.25_ipcw,0.828,1.50E-03,CPH,seer,0
0.5_ipcw,0.799,1.10E-03,CPH,seer,0
0.75_ipcw,0.781,7.00E-04,CPH,seer,0
0.25_ipcw,,,CPH,seer,1
0.5_ipcw,,,CPH,seer,1
0.75_ipcw,,,CPH,seer,1
0.25_ipcw,0.895,1.20E-03,DSM,seer,0
0.5_ipcw,0.873,2.00E-03,DSM,seer,0
0.75_ipcw,0.856,1.20E-03,DSM,seer,0
0.25_ipcw,0.765,4.60E-03,DSM,seer,1
0.5_ipcw,0.761,3.90E-03,DSM,seer,1
0.75_ipcw,0.75,2.30E+03,DSM,seer,1
0.25_ipcw,0.652,0.011,PCHazard,support,
0.5_ipcw,0.62,8.00E-03,PCHazard,support,
0.75_ipcw,0.607,8.00E-03,PCHazard,support,
0.25_ipcw,0.65,9.00E-03,DeepHitSingle,support,
0.5_ipcw,0.602,1.30E-02,DeepHitSingle,support,
0.75_ipcw,0.574,9.00E-03,DeepHitSingle,support,
0.25_ipcw,0.66,2.80E-02,DeepSurv,metabric,
0.5_ipcw,0.648,2.20E-02,DeepSurv,metabric,
0.75_ipcw,0.644,1.80E-02,DeepSurv,metabric,
0.25_ipcw,0.728,1.90E-02,survtrace,metabric,
0.5_ipcw,0.69,1.30E-02,survtrace,metabric,
0.75_ipcw,0.655,1.30E-02,survtrace,metabric,
0.25_ipcw,0.713,2.40E-02,PCHazard,metabric,
0.5_ipcw,0.68,1.70E-02,PCHazard,metabric,
0.75_ipcw,0.644,1.70E-02,PCHazard,metabric,
0.25_ipcw,0.712,2.60E-02,DeepHitSingle,metabric,
0.5_ipcw,0.657,2.30E-02,DeepHitSingle,metabric,
0.75_ipcw,0.603,1.40E-02,DeepHitSingle,metabric,
0.25_ipcw,0.594,1.30E-02,DeepSurv,support,
0.5_ipcw,0.591,7.00E-03,DeepSurv,support,
0.75_ipcw,0.605,6.00E-03,DeepSurv,support,
0.25_ipcw,0.67,8.00E-03,survtrace,support,
0.5_ipcw,0.633,6.00E-03,survtrace,support,
0.75_ipcw,0.617,4.00E-03,survtrace,support,
0.25_ipcw,0.665,8.00E-03,survtrace_wo_mtl,support,
0.5_ipcw,0.63,6.00E-03,survtrace_wo_mtl,support,
0.75_ipcw,0.614,5.00E-03,survtrace_wo_mtl,support,
0.25_ipcw,0.722,2.20E-02,survtrace_wo_mtl,metabric,
0.5_ipcw,0.686,1.00E-02,survtrace_wo_mtl,metabric,
0.75_ipcw,0.649,1.70E-02,survtrace_wo_mtl,metabric,
0.25_ipcw,0.549,1.70E-02,CPH,support,
0.5_ipcw,0.564,4.00E-03,CPH,support,
0.75_ipcw,0.586,5.00E-03,CPH,support,
0.25_ipcw,0.628,2.40E-02,CPH,metabric,
0.5_ipcw,0.627,2.00E-02,CPH,metabric,
0.75_ipcw,0.632,1.60E-02,CPH,metabric,
0.25_ipcw,0.66,5.00E-03,RSF,support,
0.5_ipcw,0.621,6.00E-03,RSF,support,
0.75_ipcw,0.602,6.00E-03,RSF,support,
0.25_ipcw,0.698,2.90E-02,RSF,metabric,
0.5_ipcw,0.658,2.20E-02,RSF,metabric,
0.75_ipcw,0.63,1.70E-02,RSF,metabric,
0.25_ipcw,0.64,7.00E-03,DSM,support,
0.5_ipcw,0.609,7.00E-03,DSM,support,
0.75_ipcw,0.596,8.00E-03,DSM,support,
0.25_ipcw,0.707,2.30E-02,DSM,metabric,
0.5_ipcw,0.663,1.40E-02,DSM,metabric,
0.75_ipcw,0.636,1.70E-02,DSM,metabric,
